queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/FJ718761	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718762	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718763	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718764	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718765	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718766	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.42%, AL_3_KJ873911:1.56%, AL_3_EU360977:1.54%, AL_3_AB290313:0.97%, AL_3e:0.51%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718767	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:92.85%, AL_3_KJ873911:2.47%, AL_3_EU360977:2.44%, AL_3_AB290313:1.48%, AL_3e:0.76%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718768	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:92.85%, AL_3_KJ873911:2.47%, AL_3_EU360977:2.44%, AL_3_AB290313:1.48%, AL_3e:0.76%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ718769	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3e:48.44%, AL_3_AB290313:13.60%, AL_3f:18.64%, AL_3_KJ873911:7.12%, AL_3_EU360977:7.07%, AL_3g:5.12%	-	-	-
ncbi-hev/FJ718770	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3e:41.60%, AL_3_AB290313:16.81%, AL_3f:20.53%, AL_3_KJ873911:8.17%, AL_3_EU360977:8.11%, AL_3g:4.78%	-	-	-
ncbi-hev/FJ718771	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:86.68%, AL_3_KJ873911:4.87%, AL_3_EU360977:4.80%, AL_3_AB290313:2.49%, AL_3e:1.05%, AL_3g:0.12%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ748515	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3c:49.11%, AL_3i:33.19%, AL_3h:6.36%, AL_3_AB290312:5.91%, AL_3_JQ953664:5.43%	-	-	-
ncbi-hev/FJ748516	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3c:57.92%, AL_3i:25.53%, AL_3h:4.50%, AL_3_AB290312:4.14%, AL_3_JQ953664:3.76%, AL_3_AB369689:1.96%, AL_3a:1.86%, AL_3b:0.32%	-	-	-
ncbi-hev/FJ748517	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748518	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748519	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748520	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748521	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748522	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:99.86%, AL_3i:0.10%, AL_3h:0.02%, AL_3_AB290312:0.02%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748523	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748524	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748525	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ748526	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3e	AL_3e:97.01%, AL_3_AB290313:0.84%, AL_3f:1.12%, AL_3_KJ873911:0.44%, AL_3_EU360977:0.43%, AL_3g:0.17%	AL_3e	ncbi-hev	AB248521
ncbi-hev/FJ748527	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:61.26%, AL_3j:33.65%, AL_3b:2.52%, AL_3_AB369689:2.57%	AL_3a	ncbi-hev	AF082843
ncbi-hev/FJ748528	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:61.26%, AL_3j:33.65%, AL_3b:2.52%, AL_3_AB369689:2.57%	AL_3a	ncbi-hev	AF082843
ncbi-hev/FJ748529	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:72.20%, AL_3j:11.28%, AL_3b:7.65%, AL_3_AB369689:7.55%, AL_3i:1.32%	AL_3a	ncbi-hev	AF082843
ncbi-hev/FJ748530	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3i	AL_3i:84.38%, AL_3c:5.88%, AL_3h:2.69%, AL_3_AB290312:2.48%, AL_3_JQ953664:2.26%, AL_3_AB369689:1.18%, AL_3a:1.13%	AL_3i	ncbi-hev	FJ998008
ncbi-hev/FJ748531	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:100.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/FJ763142	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:94.61%, AL_4e:2.51%, AL_4b:1.49%, AL_4d:1.38%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ769237	-	-	-	-	-	-	-	-	-	-
ncbi-hev/FJ769238	-	-	-	-	-	-	-	-	-	-
ncbi-hev/FJ775165	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:94.31%, AL_4e:2.66%, AL_4b:1.57%, AL_4d:1.46%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775166	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.98%, AL_4e:0.01%, AL_4b:0.00%, AL_4d:0.00%, AL_4g:0.00%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775167	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.32%, AL_4e:0.63%, AL_4b:0.37%, AL_4d:0.35%, AL_4g:0.33%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775168	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.99%, AL_4e:0.00%, AL_4b:0.00%, AL_4d:0.00%, AL_4g:0.00%, AL_4f:0.00%, AL_4_AB369688:0.00%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775169	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:94.31%, AL_4e:2.66%, AL_4b:1.57%, AL_4d:1.46%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775170	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:96.51%, AL_4e:2.18%, AL_4b:1.30%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775171	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.78%, AL_4e:0.76%, AL_4b:0.46%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775172	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:97.07%, AL_4e:0.77%, AL_4b:0.44%, AL_4d:0.40%, AL_4g:0.38%, AL_4f:0.33%, AL_4_AB369688:0.31%, AL_4c:0.30%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775173	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.97%, AL_4e:0.01%, AL_4b:0.00%, AL_4d:0.00%, AL_4g:0.00%, AL_4f:0.00%, AL_4_AB369688:0.00%, AL_4c:0.00%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775174	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.65%, AL_4e:0.35%, AL_4b:0.20%, AL_4d:0.19%, AL_4g:0.18%, AL_4f:0.15%, AL_4_AB369688:0.14%, AL_4c:0.14%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775175	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.97%, AL_4e:0.01%, AL_4b:0.00%, AL_4d:0.00%, AL_4g:0.00%, AL_4f:0.00%, AL_4_AB369688:0.00%, AL_4c:0.00%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775176	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:97.07%, AL_4e:0.77%, AL_4b:0.44%, AL_4d:0.40%, AL_4g:0.38%, AL_4f:0.33%, AL_4_AB369688:0.31%, AL_4c:0.30%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775177	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:97.07%, AL_4e:0.77%, AL_4b:0.44%, AL_4d:0.40%, AL_4g:0.38%, AL_4f:0.33%, AL_4_AB369688:0.31%, AL_4c:0.30%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ775178	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.77%, AL_4e:0.40%, AL_4b:0.23%, AL_4d:0.22%, AL_4g:0.21%, AL_4f:0.18%	AL_4a	ncbi-hev	AB197673
ncbi-hev/FJ850960	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3c:35.38%, AL_3i:37.26%, AL_3h:7.08%, AL_3_AB290312:6.48%, AL_3_JQ953664:6.07%, AL_3_AB369689:2.54%, AL_3a:2.34%, AL_3b:2.16%, AL_3j:0.67%	-	-	-
ncbi-hev/FJ850961	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3c:31.59%, AL_3i:38.65%, AL_3h:8.79%, AL_3_AB290312:8.07%, AL_3_JQ953664:7.59%, AL_3_AB369689:2.06%, AL_3a:1.96%, AL_3b:1.15%, AL_3j:0.14%	-	-	-
ncbi-hev/FJ850962	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3c:53.01%, AL_3i:27.01%, AL_3h:6.67%, AL_3_AB290312:6.15%, AL_3_JQ953664:6.12%, AL_3_AB369689:0.82%, AL_3a:0.11%, AL_3b:0.11%	-	-	-
ncbi-hev/FJ866636	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:86.43%, AL_4b:3.29%, AL_4e:2.36%, AL_4a:1.95%, AL_4g:1.73%, AL_4f:1.47%, AL_4_AB369688:1.39%, AL_4c:1.33%, AL_4i:0.05%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ866637	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:89.58%, AL_4b:2.42%, AL_4e:1.69%, AL_4a:1.39%, AL_4g:1.22%, AL_4f:1.02%, AL_4_AB369688:0.96%, AL_4c:0.92%, AL_4i:0.79%, AL_4h:0.01%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ866638	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:79.84%, AL_4b:4.99%, AL_4e:3.70%, AL_4a:3.02%, AL_4g:2.86%, AL_4f:2.44%, AL_4_AB369688:2.25%, AL_4i:0.75%, AL_4c:0.14%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ866639	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:85.72%, AL_4b:4.25%, AL_4e:3.08%, AL_4a:2.57%, AL_4g:2.31%, AL_4f:1.97%, AL_4i:0.07%, AL_4_AB369688:0.03%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ866640	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:85.77%, AL_4b:3.46%, AL_4e:2.48%, AL_4a:2.06%, AL_4g:1.82%, AL_4f:1.55%, AL_4_AB369688:1.46%, AL_4c:1.40%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ866641	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:94.91%, AL_4b:5.04%, AL_4i:0.06%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/FJ883000	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:73.50%, AL_3a:17.16%, AL_3_AB369689:7.76%, AL_3j:1.58%	AL_3b	ncbi-hev	AP003430
ncbi-hev/FJ883001	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:72.07%, AL_3a:12.70%, AL_3_AB369689:9.83%, AL_3j:5.34%, AL_3i:0.06%	AL_3b	ncbi-hev	AP003430
ncbi-hev/FJ883002	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:72.08%, AL_3a:12.70%, AL_3_AB369689:9.83%, AL_3j:5.34%, AL_3i:0.06%	AL_3b	ncbi-hev	AP003430
ncbi-hev/FJ890338	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1f	AL_1f:95.84%, AL_1a:3.60%, AL_1b:0.31%, AL_1c:0.22%, AL_1e:0.02%, AL_1d:0.01%	AL_1f	ncbi-hev	JF443721
ncbi-hev/FJ890339	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1f	AL_1f:83.79%, AL_1a:12.85%, AL_1b:1.79%, AL_1c:1.34%, AL_1e:0.13%, AL_1d:0.10%	AL_1f	ncbi-hev	JF443721
ncbi-hev/FJ890340	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1f	AL_1f:87.02%, AL_1a:10.34%, AL_1b:1.41%, AL_1c:1.05%, AL_1e:0.10%, AL_1d:0.08%	AL_1f	ncbi-hev	JF443721
ncbi-hev/FJ890341	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1f	AL_1f:94.06%, AL_1a:4.82%, AL_1b:0.60%, AL_1c:0.44%, AL_1e:0.04%, AL_1d:0.03%	AL_1f	ncbi-hev	JF443721
ncbi-hev/FJ890342	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1a:48.29%, AL_1f:35.50%, AL_1b:8.41%, AL_1c:6.45%, AL_1e:0.75%, AL_1d:0.59%	-	-	-
ncbi-hev/FJ906853	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906854	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906855	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906856	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906857	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906858	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906859	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906860	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906861	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906862	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906863	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906864	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	KJ013415
ncbi-hev/FJ906865	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906866	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906867	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906868	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906869	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906870	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906871	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906872	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906873	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906874	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906875	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906876	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906877	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906878	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906879	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906880	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906881	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906882	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906883	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906884	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906885	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906886	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906887	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906888	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906889	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906890	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906891	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906892	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906893	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906894	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906895	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ906896	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3ra	AL_3ra:100.00%	AL_3ra	ncbi-hev	FJ906895
ncbi-hev/FJ948818	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:52.52%, AL_3j:12.98%, AL_3b:15.84%, AL_3_AB369689:13.19%, AL_3i:2.01%, AL_3h:0.99%, AL_3_AB290312:0.93%, AL_3_JQ953664:0.85%, AL_3c:0.68%	-	-	-
ncbi-hev/FJ948819	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:46.99%, AL_3j:14.26%, AL_3b:15.93%, AL_3_AB369689:15.91%, AL_3i:3.71%, AL_3h:1.43%, AL_3_AB290312:1.33%, AL_3_JQ953664:0.22%, AL_3c:0.21%	-	-	-
ncbi-hev/FJ951634	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3e:46.76%, AL_3_AB290313:13.58%, AL_3f:19.27%, AL_3_KJ873911:7.83%, AL_3_EU360977:7.76%, AL_3g:4.80%	-	-	-
ncbi-hev/FJ951635	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:92.93%, AL_3_KJ873911:2.44%, AL_3_EU360977:2.41%, AL_3_AB290313:1.47%, AL_3e:0.75%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ951636	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:87.96%, AL_3_KJ873911:4.41%, AL_3_EU360977:4.35%, AL_3_AB290313:2.26%, AL_3e:0.96%, AL_3g:0.06%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ951637	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.57%, AL_3_KJ873911:1.51%, AL_3_EU360977:1.50%, AL_3_AB290313:0.93%, AL_3e:0.49%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ951638	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.57%, AL_3_KJ873911:1.51%, AL_3_EU360977:1.50%, AL_3_AB290313:0.93%, AL_3e:0.49%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ951639	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:95.57%, AL_3_KJ873911:1.51%, AL_3_EU360977:1.50%, AL_3_AB290313:0.93%, AL_3e:0.49%	AL_3f	ncbi-hev	AB369687
ncbi-hev/FJ951640	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:99.81%, AL_3_KJ873911:0.07%, AL_3_EU360977:0.07%, AL_3_AB290313:0.04%, AL_3e:0.02%	AL_3f	ncbi-hev	AB369687
